"","HMPU_TARGETS","Target2030","Year","progress","curmet","est2030","estmet"
"1","Artificial Reefs",166,2025,167,TRUE,168.5,TRUE
"2","Coastal Uplands",3769,2025,3761.49987241926,FALSE,3793.5,TRUE
"3","Forested Freshwater Wetlands",152282,2025,151960.819399874,FALSE,151960.8,FALSE
"4","Hard Bottom",423,2025,423,TRUE,423,TRUE
"5","Living Shorelines",21.3,2025,13.3943181819394,FALSE,14.3,FALSE
"6","Mangrove Forests",15300,2025,15431.3316364089,TRUE,15431.3,TRUE
"7","Native Uplands",141050,2025,138094.838653858,FALSE,139850,FALSE
"8","Non-Forested Freshwater Wetlands",68937,2025,71155.426798667,TRUE,71155.7,TRUE
"9","Oyster Bars",221,2025,218.498782253393,FALSE,218.5,FALSE
"10","Salt Barrens",546,2025,639.155864061494,TRUE,639.2,TRUE
"11","Salt Marshes",4807,2025,4570.61174184103,FALSE,4570.6,FALSE
"12","Seagrasses",40000,2025,31570.552268505,FALSE,31570.6,FALSE
"13","Tidal Flats",16220,2025,24874.1467946013,TRUE,24874.1,TRUE
"14","Tidal Tributaries",391,2025,389.164772727273,FALSE,391.4,TRUE
